mdng,fr,mdng-remain,fr-remain
Fa in fanne,"Chicotte, verge"," Za gak joŋ bərəə ne wak zomme, daa kpuu, faa mawahe Bərəə ma zah tə vaŋno, zah tə gwa, zah pəpaa no Bərəə ŋwəə syiŋ no Za loɓ wee ne bərəə Za ma joŋ fan ne zahzyil syen daŋ za loɓra ne bərəə Bərəə ma zyeɓ ne wok zom a ɗii ne mazahyakke Madəə mo soo pəluu ya ɓe, za ɗii ne bərəə madəəre, mor jur bərəə ɓo Me yea tə kəə bərəə madəəre, wala madəə ma nyiŋ ahe", 
Bə ah a təki vaŋno ne bərtə,Sans arrêt," Me yee zah muŋta ka mo uu ɗə, kal bəttətə Za ki pəəra kah ɓe bəttətə, faara ɓə nyi me ya", 
"Gəvak, bəlah","Tendant, penchant"," Swah ka wo dəb ah yao, ɓoo ɓo bəvah nai sə Dəɓ gak faa ɓoo ɓo səŋ bəva bəva Jol kəki wə ɓo bəvah Za ki faara jol ah wə ɓo bəval Jeertə ahe: Pəswahe, vattətə ", 
Ɓə ma ɓyaŋ ki ne fan joŋ ahe,Bruit des jets de baton, Dəɓ mo ’nəə kəndaŋ ɓe mo laa cii ahe A cii bəvaŋ Me ’nəə kənɗaŋ ge mor ah bəvaŋ , 
"Fan ki rii cok ah ya, a bəvaŋ (gəɓaŋ, gəə)","Découvert, large"," Lak wel ɓo piicel ɓe bəvaŋ Fahlii mai mo pə ’ah laŋ za faa a bəvaŋ (gəɓaŋ, gəə) Fahlli mai dəə mo tə syee gŋ a yea bəvaŋ, gəə, wala gəɓaŋ", 
47 Faɓalle (nəə) cokki,Antilope cheval," Bəvao jur dəə ɓo Bəvao syeera ne ŋgaɓ na dəə, a nĩira mər na gwii Me kwo ŋgaɓ bəvao taa ɓe ", 
"Fa rah syiŋ, za kaŋ ne suu mbəro na gaŋ ta, amma a pəlaŋne, dai gaŋ ne lii ya",Filet pour la pèche," Dəɓ vaŋno gak rah syiŋ ne ko 
", 
Suu luu me ɓo bəvək,"Moue, sans force"," Suu mo luu dəɓ bəvək (gəvək, gəmak) ɓe, mo ka yea pəswah ya, mo yea pətaŋne, wala pətətəəre Fan mataŋ ah daŋ dəɓ gak ɓoo ga səŋ bəvək Jeertə: Pəswahe, pəyerre", 
"Bəzal (pəzal) pəfai, za in cahcah ne ko",Cauris, Za yea tə saa bəzal jolle wala solle Za təə zah mandahri ne marzyeere mor daa fĩi Mundaŋ ne ko, 
"Hai, pəlli","Partout, en désordre"," Mo ge luma maki ah ɓe, fan gŋ bəzokki Za ki soɓra faɓal ɓəə myah ne zah bəzok Za ki faara bəzok, wala bozok Za gak faa a ne zah bəzaa ta", 
Təɗii zyemĩirĩi,Espèce du mil rouge," Bəzokki (mabəzokki) byaŋ tətəl gərləŋ gərləŋ, so a yea pəyakke Za ki ka ’yahra  zyemĩi ah pəlli ya, mor a pəbərəmmi (pəbəmmi)", 
"Mo ee bəəzyiŋ, rooloo, ɓtv yo",Renard, , 
Wor məlaŋ ɗii pah mawin ah ne bəə,"Beau-père, beau-frère, gendre"," Pah məlaŋ laŋ ɗii wor məlaŋ ah ne bəə Bəə ɓe yo, me kan məlaŋ ah ɓo Bəə ɓe yo, kan məlaŋ ɓe ɓo Za mundaŋ ɗiira zahzum pah mawin ɓəə ma tə gwari daŋ ne bəə bəəra Bəə ’yah faa bəəra ge jol ki daŋ, ciŋra zum tə vaŋno ɓo", 
"Mo ee bəlao, (bəlah, vəə) dəə, ɓtv yo",Pente de boeuf , ,
"48 Foo ɓə fanne, wala jin foo ɓə fanne, kan nən tə ɓə","Penser, repenser à qqc, à qqn", , 
Lalle,Steppe," Na ge ne gwii tə bəə ɗao, wom gŋ pəlli ", 
Səə,Cache-sexe des femmes pendant leurs règles, Təzee (təzəə) kpuu mai ŋwəə moo zyeɓra dəə ne cok ŋwəəsaŋ ɓəəra, 
Cee swah ma rii comme,L’ombre qui cache le soleil," Swah mo ge nən com ɓe, cee ah ɗii ne bəəlilli (sərimmi) Me ’yah bəə com ya, me ’yah bəəlilli (sərimmi)", 
"Ŋgoŋ, woŋ fanne","Partager, repartir, couper"," Ŋwəə bəəra wol pə cii gin lal ne təfahe Dəɓ bəə təwaa ’naa naa ne ko Dəɓ gak bəə vuuri Fan daŋ mai moo gak bəəre, za gak faa laŋ dəɓ ah bəə fan joŋ ah ɓo nyi wel ahe", 
Macoktəsyaŋ (macoksyaŋ),"Mystère, sans trace"," Cok ah no, wala ka gwa daŋ Cok mai fan mo muŋ gŋ ɓe, za mo so ka tan cok ah ya Ɓə ah cuu məəzuwuŋ mai mo rwahra tətəl ah ɓe Məəzuwuŋ mai mo ka tə ’yahra ko yao ɓe, a ga bəəre Za faa: kal ge bəə ɓe, muŋ ɓe", 
"Gboŋgboŋ, ɓə sahe","Gentillesse, amour, honnetteté, bon, bien, extime"," Za gak joŋra bəə wo ki ne fahlii camcam, kal daŋ ah ne fan mai dəɓ ah mo ka lwaa ya Dəɓ mai moo joŋ bəə (boo), ka dəɓ bəə yo Mo ka nai ya ɓe, ka dəɓ tə vərvər o Za Torrock ne za Kah Ele a ɗiira ne boore « Bəə ah bəə wuur o », mo joŋ fan sah wo dəɓ ɓo ɓe, a so jin joŋ mabe’ ah ge gŋ Dəɓ mo ne kee suu pəsah ɓe, ka dəɓ ah pəbəəre (pəboore), dəɓ kyem ye ka A nai ne dəɓ ma lwaa fan ne fahlii ah ta", 
Gwari,"En même temps, instantanement, rapidement"," Dəɓ ah ge ’yak ɗə ya, piisoo ne pel bəəri Ge pəə bəəri, me so kwo ko yao Dəɓ ah səə (fiŋ) leeni, so ur bəəri, ’yah faa swə gŋ liilii ɗə ya", 
"49 Pəki, pə cok dəə taa","Encore, de nouveau, au même endroit"," Mo kyah bəəri bəəri kyeɓ feene? Mo yaŋ tətəl ne kyeɓ fan bəəri bəəri Me tə pəə ’wah ɓe ganne, faa ɗah luu ga gŋ bəəri bəəri, wala ɓərki ɓərki", 
" Faɓalle (nəə) cokki, fafyah",Renard, Faɓea ma gbah kahe Bəəzyiŋ (rooloo) jur pakaaɓelle Bəəzyiŋ pə hah (gwah) pəlli, 
Faɓalle (nəə) cokki,Rat palmiste," Bəə (boo) jur səbəə ɓo Za ki ɗiira ne boo Bəə ka ne səə pəwah na səbəə ya Suu bəə jur geefaa, wala magee ɓo Ɓəə (boo) a cen fan pəlli, a yea mor tahn pee ", 
Fan mai mo no tətəl watəcoo moo pəsyee,Crête du coq," Bəə təl watəcoo, kekelyak (tənjwak) təl watəcoo 
", 
50 Patə sai (3) syel masyin fanŋwəə zah Mundaŋ,3èm lettre d’alphabet moundang," Dəɓ ɗii ne təkpuu zah na ta Ɓə məə ga fah kyaŋ:  Mo tə kee ɓe mo ee ne pəsahe, ka mo ɗii kyaŋ ɓə faa ɓəə njaŋ", 
Kəpelle,"Avant, autrefois, jadis, d’antan, tôt"," Mo ge ɓaa We yea kee ɓaa ne? Za gak faa ɓaaɓaa ta Mo yea goo ɓo ɓaaɓaa ne mai ko ne? Ɓaaɓaa mo kaa ɓo ne mai sə Ɓaa, wala ɓaaɓaa cuu fan mai dəɓ mo ’yak ne joŋ ah ɓe Mo ren fan ko ɓaaɓaa kəə mo ya Ɓaa cuu gwari ta Mo yaŋ tətəl ka, mo ge ɓaa", 
Ɓaa cuu joŋ fan camcam pəpaare:  zah za Torrock ne za Kah Elle,"Jeter, clouer, lapider, suivre, retourner, crier, gronder, accabler"," Ge gwəəre Me ɓaa (yea) Pala Paloo ɓaa (yea) N’djamena ne Mabame  Ɓaa fan ge wo suu Me ɓaa mɓəro ɓo təki gwa Za wo goŋ ɓaara mɓəro maluuri Syem gak ɓaa dəɓ wo suu ta təkalle (fakalle), ɓaa tə yaŋ: 
Zyezyeɓɓe Mo ɓaa təkal (fakal) nyi me sa Me tə ɓaa tə yaŋ ɓe, me ɓər (vər) ɓe, me ga ɓaa vuu fal ah ta Bai fanne, dahɓ fanne Ɓaŋ zyim fuu ɓaa mbəro mataa ne ko ka pəsah ya Dəɓ gak ɓaa dah taa, ɓaa suu yaŋ, celle daŋ  Ɓəl kəsyil gwa Me tə joŋ yeɓ ɓaa ŋhəəre Mo ɓaa ŋhəə taa ɓe ne? Mbəro təŋ ɓaa vaŋno vaŋno ɓe  ’Nəə ge lalle Mo ’yah ya ɓe mo ɓaa ge lal o Mo ɓaa lee fan ma ne təkaa ge lalle Dəɓ gak ɓaa fan ne təsalle Pətaa za yea ɓaa pa faɓe’ ne təsalle nyi fanne: Syak fan ne wii Me tə ɓaa wii nyi faa Za mo tə ruura sal ɓe, a ɓaara wii tə yaŋ ki Za gak ɓaara fan maluu ka cak fahlii syel ta ge wo kpuu (tə kuu) Rao ge wo kpuu, 
mgbaa ge wo kpuu ne guu Ɓaara Dəɓlii Yesu ge wo kpuu Za gak ɓaara gaari wo yaŋ ka rao fan gŋ ta  Coo zahe, bai gak faa ɓə Syem mo ɓaa zah ɓe, ka ge pəgaɓ ɓe Bai faa ɓə, bai gbər zahe  Faa ɓəɓe’ tə dəɓɓi Soɓ dəɓ ne 
təkeawakke Pah ah ɓaa zahyee nyi ko pəlli ta We mai mo ka joŋ 51 fan pəsah ya daŋ za ɗii ne we zahyee, təgbana faa, ɓoora zahyee ɓo nyi ko  Ɓaa kpuu ma cak cok, wala ma cak fahlii ma ga pə fanne Dəɓ gak ɓaa daagəra ma gban fan uu ne ko pəsah ta Mo ɓoo kpuu maki ah ne təcee ka joŋ daagəra ne ko Pah zah fanne Dəɓ ɓaa lao zah ’wahe, ɓaa lao ka cak zah faɓal gŋ ka mo pəəra ka Za ɓaa lao ne waa, wala ne kpuu maluuri  Faa ɓə wo dəɓ ne kyaŋ pəswahe, ɓyee dəɓɓi Zaluu ka ɓaara təbee nyi ki haihai ya, amma a ɓaara nyi wee manyee təkine za mai mo kalra tətəl ɓəə ɓo Mo ɓaa təbee nyi me, me welaŋ ne?", 
’Nəə ga,Pl," Ɓooni v Magwii tə gin re swəəre (sorre), mo ɓaa ge ne təsalle Ɓaa (ɓwaa) a ne mor camcam pəpaare: ɓaa ŋhəəre, ɓaa lee fan ga gŋ, ɓaa (ɓwaa) pee, ɓaa zahe"," Jeter, augmenter Lapider, tuer, maudire, être à l’agonie "
"Ɓə ma faa ne bai laa pə’nyahre, ɓaŋ kpahe",Parole prononcée sous la colère," Ɓaa ɓaa, me ge ya Ɓaa ɓaa a faa ne cok mai na faa ɓə wala joŋ fan ɓo, so fan ah mo joŋ ɓyaŋ ki ɓo ne ɓə foo man, wala ’yah man ɓe Ɓaa ɓaa ka a gur nyeeno", 
Ŋ ŋ,"Murmurer, grommeler, bougonner, gronder, grogner"," Kyah ɓə nyeere, mgbər ɓə Ɓaa ɓaa mo ge gŋ ya ɗii, kənah mo kwo fan no", 
"Faa ɓə ne suu swahe, ne kpahe","Parler fort, avec colère", Dəɓ ah faa ɓə ne ɓaa təbee toto, 
"Pətaa, ɓardai, kəpelle","Avant, depuis, entérieur, autrefois, jadis, longtemps, enciènnement, "," Ɓaaɓe bii yea tə ɗuu dai ge nyee ya Me ge ɓo ɗah ɓaaɓe (bardai, kəpel) ɓe",
,"d’alors, il y a",, 
"’Yaŋ, bai dəɓ mo tə","Sans bruit, sans qu’on ne sache"," Faa ɓə ki ya, ɓoo kal ɓaaŋ Dəɓ mo tə kal ga ’yaŋ ɓe, ka faa ɓə ya, ka həə ya ta A ɓoo ɓaaŋ Dəɓ ah ɓoo kal ɓaaŋ, faa ɓə ki ya", 
"52 Kahkah, syee syee",Tiède," Ka pəcwak ya, ka pəwok ya, a ɓaaŋ (kahkak) Bii ah ləə ɓaaŋ nən er no 
", 
"Sə, gwari sə, bai gaɓɓe","Sans peine, sans difficulté", Dəɓ ah ɓoo loo ne kəndaŋ ɓaɗ (ɓaɗɗe) Me gaɓ tə yeɓ ɓaɗ (ɓaɗɗe) Zaki faara: ɓat I ko ne kəndaŋ vaŋno ɓat wə sə Oho i ɓat, 
Ɓagolo (ɓogolo) jur fan ɓo camcam,Taro," Goo ah jur goo kul maluu ɓo Soo ah jur təndahre, wala kulli Dəɓ mo ruu ɓe a gak ciŋ wo suu ah daŋ Ɓagolo pənik na madəəre Za pəə pə cok mai mo na pee Zahban ma ɗii ne Kim pəəra ɓagolo pəlli ", 
"Joŋ ya, coŋ ɓo","Encore, particule qui marque le futur"," A cuu fan mai dəɓ mo foo ɓə ah ɓo ka joŋni, mo so joŋ ya ba Me bah joŋ fan ɓo ko ya ba Naa zyee ɓe ne? aѶa ɓah ya ba Me ɓah mo ya ba Cok ɓah ya ba", 
Ɓə ma ɓyaŋ pə’manne,Cris des animaux, Gwii səə yee gin pə jol ɓah Dəɓ gak faa ɓahɓah ta Dəɓ ah syee ne ɓə ɓahɓah Ka pəsah ka yea ne ɓə ɓahɓah ya, 
Pəsahe,Beaute corporelle," Taŋ ne haŋ pəsah ɓaila Ŋwəə yeara ne haŋ ɓaila kal za wəə ɓe, mor ka renra fan pəlli ya 
", 
Pə ’ahe,Large ouverture," Nwah ah ree zah ge ɓo lal ɓaĩ Dəɓ mo tə yeyee ɓe, a re zah ɓaĩ ɓaĩ (tai tai) Min tə re zah ɓaĩ ɓaĩ (tai tai) re gee ɓo", 
"Gwari, bai tanne","Brusque, brusquement, tout à coup, sans attendre, improviste", Dəɓ ah ge dai me yaŋ ɓakke (ɓwakke), 
"Kah waare, sah waare",Pied de la montagne," Me yea tə saŋ ram ɓal waare Na ge ɓal waa syee 
", 
53 Bər zahe,"Ouvrir la bouche, recommencer à parler", Kwaa mai me ruu ɓal sul tə ɓal zah o , 
Fan wo suu dəfuu ne nəə manyeeki ahe,"Jambe, pied, patte, pas"," Dəfuu ne ɓal gwa gwa Kəlli nəə maluu ne ɓal nai nai Magbəl ne ɓal yea Magoodəyukri (makadəwikki) ne ɓal pəpaare Dəfuu ne faɓea daŋ syeera ne ɓalle, koo mai mo zoora zoo laŋ a gak syeera ne ɓalle Soo to ka ne ɓal a, amma a ɗuu ne suu ah mai Masəŋ mo joŋ ko ɓo ne ko", 
"Patə gwa fanne, kamme",Double," Fan mai mo woŋ ge ɓo wo ki, wala mai mo ɓyaŋ ki ɓo Fan mo ka ne ɓal ya ɓe, ka a ne kəlyaŋ (kəlyiŋ) Madəwin ye ɓal dəworre Ŋhəə mo ɓaa ɓe, a yea ne ɓalle Fan mai mo jurra ki ɓo ne suu, wala fan joŋni daŋ ara ye ɓal ki Ɓal səɓal ɓe muŋ ɓo", 
"Pəə ge lalle, ɓəlli, səəni, woŋni","Ouvrir, s’ouvrir, sortir, diviser, fakker, fendre"," Bii ɓal tə waa manyeeki ahe Təyim ɓal wo suu ah ne lii ah daŋ Ɓal ’yah faa: Gbər ta Dəɓ ah yea coo zah ɓo, zəzəə ɓal zah ɓe Za ɓalra fahlii pə ’wah ɓe Sok gak ɓal dəɓ ta Me tə ɓal zahwii kpuu", 
Zahləŋni,"Fois, combien de fois"," Joŋ ɓo ɓal vaŋno, ɓal gwa, ɓal sai ɓe Za mo tə faa ɓə nyi dəwor ɓe, mo faa: Mo joŋ sai tə ɓal dəwor ɓo ɗao Mo madəwin ɓe, dəɓ faa: Mo joŋ nai tə ɓal madəwin ɓo ɗao ", 
Cok mai za mo tai sor ’wah gŋ,"Tas de, gerbe"," Pətaa za mundaŋ taira sor ’wah ɓəə ga tə ɓalle (ɓulli) Pah ’wah swan kah ɓal sorre Ka joŋ ko kyem ga kah ɓal sor ne wii ya Ŋwəə gin ɓaŋra sor tə ɓal ne keere Za ɗii ne ɓal sor tə ɓə lii ah mo tai ɓo təki pə’manne Sor mo ka pəlli ya ɓe, za ka tai ɓal a, za woo ga yaŋ səsə", 
"Cok mai mo təŋ daga zahciŋɓal dai sah ɓəm, ɓalmuhul (ɓalmuwul) yo; cok ah pə’man kal ɓal daŋ",Cuisse, , 
"54 Mo ee ɓalmuhulli, ɓalmuwulli, ɓtv yo",Cuisse, , 
"Pə’manne, pəgaɓɓe",Convulsion," Ɓaŋ we gwii ge jol nai tao, ’nahm ɓal wə sə Zahzyil tə zwəə ko, a ’nahm ko ɓalɓal ", 
"Mo ee gbə ɓilli, ɓtv yo","Enceinter, tomber en grossesse, foetus", , 
"Mo ee col, təŋ ɓə, ɓtv yo",Prendre la parole, , 
Syee tə fahlii,"Partir, marcher"," Mo ɓaŋ fahlii gaɓ ɓo We ge ɓaŋ fahlii ma kəjokəsahe Za ma syeera mor satan ɓaŋra fahlii muŋ ɓo Amma za ma syeera mor Yesu we Masəŋ, ɓaŋra fahlii əə ɓo Ɓaŋ fahlii Masəŋ, ’yah faa: syee tə fahlii Masəŋ", 
Kiŋ nyinni,"Expression, voler, dérober"," Dəɓ moo a ɓaŋ fyahe, ’yah faa: dəɓ ah kiŋ nyinni Wel ah ɓaŋ fyahe, joŋ yella ne ki 
", 
Joŋ kpahe,"S’énerver, être mécontent, se facher, se vexer"," Dəɓ ah ɓaŋ kpah ɓo pəlli Dəɓ mo ɓaŋ kpah ɓe, mo faa ɓə hai hai Dəɓ ma ɓaŋ kpah gwari gwari ka kaa jam ne zan a", 
"Kan mawinni, kan worre","Se marier, marier, épouser"," Palyaŋ ɓe ɓaŋ mawin ah ɓe Za mai mo ’yah kanra mawin ne swah ɓaŋra ɗuu ne ko Pətaa ɗəɓ yea ɓaŋ mawin ah ne suu ahe Dəɓ ki ye ɓaŋ nyi ko ta Sah ɓaŋ mawinni, wala ɓaŋ worre ko ye ma pə ɓə kanki za iŋni Ka pəsah ka ɓaŋ ki pənyin a", 
Ɓaŋ syiŋ ɓə,Portion de terre pour labourer," Ɓaŋ syiŋrĩi, ’yah cuu fan mai pah yaŋ mo joŋ ne cok mo tə ɓaŋ syiŋ tə za yaŋ ahe Pah yaŋ a ɗii təɗii za yaŋ ah vaŋno vaŋno daŋ, mo ɗii təɗii dəɓ moo ya ɓe ka ɓaŋ syiŋ təl ah ya, wala ɓaŋ syiŋ ah ya Ga pel nje ɓe, ɓə ah cuu ɓə dəɓ mo ka yaŋ dəɓ ki ya, moo kan ləŋ dəɓ ah ceecee, mo foo ɓə dəɓ ahe Ŋgom pəə rel ga zah maki, wala zah faa ka pəəni Dəɓ ah gak ɓaŋ təɗee pəcoo, pəwahe (pəwahlle), pə’manne, pəlaŋne, gwa ko sai, ko kal ta Pa syee ne yeɓ təɗee ɗii ne patəɗee (pazah təɗee)", 
Ryakryakke,"Rapidement, vite, absolument"," Me kyeɓ ko ɓaŋɓaŋ lwaa ɗə Mo foo mor ɓe ge ɓaŋɓaŋ (mgbaŋ mgbaŋ) tə ɓə maiko ne? 
", 
Kpuu (kuu),Combretum glutinosum," Ɓaŋ (rwahpai) jur (dər) 
goodəwai (məəsaaŋne, ŋwəəsaaŋne) ɓo Ɓaŋ ne goo ah daŋ pəfai nje nje a yea lii ah pə cok təsalle Gəəɓaŋne, təgbana faa: Ɓaŋ gŋ pəlli", 
Zol ne fan ga cok ki,"Prendre, suivre, amener, emmener, transporter, oter, surprendre"," Mo ɓaŋ we ge me ne ko Me yea tə ɓaŋ zahwii Fan mo pəpaa ɓe, za faa: woo Mo ɓaŋ vaŋno, mo woo gwa Ɓaŋ cuu fan mai mo gaɓ dəɓ ta Təyil tə ɓaŋ me Fan ɓaŋ dəɓ ahe, ɓaŋ kpahe Ɓə ah ɓaŋ me ne tətəl ɓwakke", 
"Wadəə kəsyil yaŋ, kpuu səŋ",Pilier, Za vuura ɓaŋtal ne vuuri A yea kəsyil yaŋ jaŋjaŋ Bəraŋ maluu daŋ ɓaa gin təl ahe Ɓaŋtal gban yaŋ uu ne ko pəswahe, 
"Bəə, nəə nje",Couper un peu," Mo ɓao mombai nyi me biŋ ɗao Za ɓao fan yakke, za bəə fan cuu bəəre 
", 
Gbərri,"Ouvrir, parler"," Dəɓ mo rom bone kii ɓe, mo ɓao (ɓal, biŋ, gbər) zah com ki Ɓə mo lwaa mo ɓe, mo kaa ɓoɓoo ka, mo ɓao (biŋ, ɓal) zah ɗə Lee kpuu manyeeki ah mo yak ɓe, a ɓao (ɓal, biŋ) zahe, təgbana lee kummi, zwakre Mbəro mo tə yah fai o ɓe, a təŋ ne ɓao (ɓal) zahe Fasyen mo dan dəɓ ɓe, dəɓ ɓao zahe ", 
56 Faa,Herbe aquatique , Ɓao yea pə cok mai bii mo kaa gŋ pəlli Ɓao jur biivuu ɓo Ŋwəə təəra təm ahe Təm ah pə’nyahre Ɓao byaŋ tətəl na təlwaalwaa A ne kpem na tənjemme,
Ne swahe,Bruit de tape qqc," A cuu cii fan in ta Pee suu i ne kəndaŋ ɓar (hard) I ne kəndaŋ vaŋno ɓar me laa cii ah ge In ma ne bərəə cii fen, ma ne kəndaŋ cii ɓar", 
Dah ne fanne,Casser," Dəɓ ɓar vuu ne kəndaŋne Wel ah tə ’yah inni, mo ɓar suu nyi ko ne bərəə, wala ne kəndaŋne, mai a cuu ka mo laa ko ɗə Vuu mayak ɗii ne vuu ɓarre (buu ɓəəre)", 
"Ɓaaɓe, kəpelle, ɓaa syee","Depuis, longtemps", Me ge ɓo nah ɓardai me kwo mo ya Ɓardai sye mo yea kene? Ɓardai me yea tə ɓə ah ya , 
"Pəswahe, ɓal, lokkətok","Lourd, pateux"," Təker (təkee) ah pəswah ɓarkəcwak Təker mo ɓarkəcwak (ɓokkəcwak, ɓal, lokkətok) ɓe, a gban kah ŋhəəre, mo kəleoleo ɓe, ka gban kah ŋhəər a", 
Juu yo,Francolin, A kyah ren fanne zwə bii ne suŋni, 
Gartə,Etre triste," Laa ɓə ma gaɓ ah ɓo, kaa ɓo ɓartə bai faa ɓə Tə syee ganne, ɓə fee joŋ ne so uu ɓartə Cuu ɓə foo no Mo soŋ fayak ɓo ne, mo zwə bii ɓartə ɗii ne? Cuu zwə bii ah pə’manne ", 
"Gərləŋ, gərləŋ gərləŋ","Rond, ronde"," Kpuu manyeeki ah lee ɓarwoi ɓarwoi, təgbana voore, yeetəkwakke, kəəre Jeertə ahe Swaɗɗe (swakle), pəwahe, (pəwahlle) 
", 
57 A cuu fan dəɓ ahe,"Mon, ma, mes"," Ɓal ɓe ne jol ɓe Pa ɓe ne ma ɓe ye za ɓe ma tə gwari Mo juu ka ma ɓe yo Ma ɓe me faa syee, ka nai ya", 
"Mo ye ka ɓe, me ka tə ga soɓ ya","Marque l’accompli, l’affirmation, déja, le subjonctif"," Ɓə ah mo ka nai ya ɓe, mo faa nyi me ba Cok mo ka pəfuu ya ɓe, a gak joŋ yeɓɓe Ɓə ki mo kəka ɓe a ga no Feeko fan i zah ɓe, mor ah geko yaŋ ɓe ", 
Cur ne fanne,Pl," Ɓeeni  Ŋwəə manyeeki ah ɓeara sokki, zahe, voo Pətaa a ɓeara sok nyi byakke Fan ɓea me ɓo cok pəpaare: Fan tə syen me cok camcam Dəɓ gak ɓea tə ɓal tə 
təsalle, tə fan camcam Satan rək fan ma ɓea təɓal pel za pəlli "," Piquer, butter, broncher, cogner "
Vaŋno ɓe za faa: ɓe’,Pl," Pəpaa ɓe za faa: ɓeare Ara daŋ pə ɓeare Mo tai fan ma ɓea ah ne kahe Za ma joŋ fan ma ɓea daŋ ara ye za ɓeare Jeertə ahe: Sahe, jiŋni"," de mauvais, mechant "
Joŋ syedowal maɓé ahe,Léser," Ka pəsah ka ɓeɓ ɓə kiita dəɓ ma tənjaŋ, saa ɓə dəɓ ma joŋ faɓe’ ya 
", 
Ɓə nəə zahzyil malii ahe,"Abomination de la désolation, profanation"," Ne cok we ge kwo ɓeɓ maɓe’ mai za mo tə faara ɓə ah ɓe, sər man daŋ ga ɓeɓɓe ", 
"Gaɓɓe, fakke","Malheur, désastre, abomination, terreur soudaine"," Ɓə mai mo joŋ wo dəɓ pəɓe’ daŋ ɓeɓ yo Wul ma wə wo ɗəɓɓi, bai lwaa fanne daŋ ɓeɓ yo Dəɓ ka tan zah’nan ɓeɓ ya Mo kyeɓ ɓeɓ ge tə ɓo ne ka", 
Roo ɓe,"Abîmé, détérioré, gâté, endommagé, délabré, dépéri", Fan wo suu ah daŋ ɓeɓɓe Tətəl ah ɓeɓɓe ka faa ɓə pəsah kpee ya Ɓə ah ɓeɓ ɓo bai faani Jeertə ahe: Zyeɓɓe, 
Rooni,"Abîmer, détruire, dévaster, ruiner, délabrer, détériorer, endommager, "," Dəɓ gak ɓeɓ ɓə, ɓeɓ yeɓɓe, ɓeɓ fahlii fan joŋni Mo ɓeɓ suu ɓo ka Fan mai mo ka pəsah yao  ɓe, ka 58 ɓeɓɓe Dəɓ ah zwan yimmi, zwan təpəə, ɓeɓ tətəl ah ɓe Faɓea ma ɗii ne ɓeɓ wol ka pəsah ya Dəɓ ma bai lai wel ɓeɓ wel ahe Jeertə ahe: zyeɓ, ɗai",
,"gâter, dépérir",, 
Za mundaŋ joŋra yeɓ ne ko pəlli,"Cadeau, supplément"," Fan mai dəɓ moo ɗəə ga tə mai mo lee ɓo təkolle Dəɓ mo lee fan ɓe, a ’yah ɓedəəri ga gŋ Mo ɗəə ɓedəəri ya ɓe, a faa lee ah ka ɗəə ɓedəəri ya Fan ma ɗəə ga tə fan lee yea pə’nyahre, a wuu 
zahzyilli", 
"Gai, syak ahe, vaŋno",Bien éloigné," Yaŋ dəɓ ah lal ɓeɗ (ɓet) Ka ’yah ŋgaɓ ya cee suu ah ɓo ɓeɗ (ɓet) 
", 
"Mo ee bee, ɓtv yo","Attirer l’attention, conseiller"," 
", 
Lwaa fanne,"Chance, trouvé sans attente"," Me ɓee tə ɓal təl ah taa ya Dəɓ ah ka ɓee tə ɓal tə fan a, təgbana faa, ka soɓ fan a, mo lwaa ɓe a ɓaŋ sə", 
"Zyak fahlii Masəŋ, joŋ ɓəɓe’","Se tromper, buter, se heurter, pécher"," Dəɓ mo ɓee tə ɓal tə fahlii Masəŋ mo zyeɓ ɓə ah ya ɓe, a ciŋ lee ahe Dəɓ gak ɓee tə ɓal ne ɓə faa no ta Dəɓ ah ka kee ɗerewol pəsah ya, a ɓee tə ɓal gŋ pəlli", 
I tə ɓalle,"Buter, se heurter, trébucher, chanceler, broncher"," I ɓal ge wo fanne Dəɓ mo ɓee tə ɓal ɓe, mo leere, wala mo waa leere Dəɓ ɓee tə ɓal tə təsalle, kpuu Pp: Ɓea Me ɓea tə ɓal fahlii ne gin ɓe pəlli Kal daŋ ah za ɓea tə ɓal pə cokfuu pəlli Rəə a ɓeara təɓal pəlli", 
Ge pəpaare,"Pousser, ramifier, se multiplier, se répandre", Kpuu ah a ɓee (ɓer) jol pəlli El manyeeki laŋ a ɓee (ɓer) jolle Yaŋ Masəŋ gak ɓeera (ɓerra) jol pəpaa no ta, 
"59 Mo ee ɓerŋgyaŋ, ɓtv yo",Dichrostachys glomerata, , 
Goo,Piment," Ɓeekah (menderyo) mo lee ɓe a ruŋ pəsyee Ɓeekah pəgbahe Za ɗii ne ɓeekah mor jur ɓee ma ɓal kah ɓo Za kə Ləəre ɗiira ne ɓyaŋ kahe ta Za kə Torrock ɗiira ne menderyo Za mundaŋ maki ah laŋ a ɗiira ne kamsarak, wala kamtara; ɗii ah a pə cok camcam naiko Zan pəlli ka rera ɓeekah (menderyo) ya", 
"Cuŋni, weeni, geeni","Trouer, piquer"," Ɓee ne guu Pəpaa ɓe, za faa: ɓea Mo ɓee sok ɓo ne? Ŋwəə manyeeki ah ɓeera zah ɓo Fan ɓee me ɓo ɓalle mor ah me ge dai fahfalle", 
Kpuu mai za mo zyeɓ ka ɓaŋ syemme,Brancard," Kan ɓee təsolle, wala lak pə jolle 
", 
